coefficient_name,value,constrain
walk_transit_ASC_auto_sufficient_eatout,-24.2243309,F
walk_transit_ASC_auto_sufficient_escort,-6.950210571,F
walk_transit_ASC_auto_sufficient_othdiscr,-2.794331551,F
walk_transit_ASC_auto_sufficient_othmaint,-5.489648342,F
walk_transit_ASC_auto_sufficient_school,-6.162548065,F
walk_transit_ASC_auto_sufficient_shopping,-4.817057133,F
walk_transit_ASC_auto_sufficient_social,2.6792826652526855,F
walk_transit_ASC_auto_sufficient_univ,0.5944441556930542,F
walk_transit_ASC_auto_sufficient_work,-5.272944927,F
walk_transit_ASC_auto_sufficient_atwork,-3.401027,F
drive_transit_ASC_no_auto_all,0,F
drive_transit_ASC_auto_deficient_eatout,-15.81105709,F
drive_transit_ASC_auto_deficient_escort,-15.76831818,F
drive_transit_ASC_auto_deficient_othdiscr,-11.18155384,F
drive_transit_ASC_auto_deficient_othmaint,-12.85981846,F
drive_transit_ASC_auto_deficient_school,-18.86919594,F
drive_transit_ASC_auto_deficient_shopping,-11.26554871,F
drive_transit_ASC_auto_deficient_social,-9.961061478,F
drive_transit_ASC_auto_deficient_univ,-26.73368263,F
drive_transit_ASC_auto_deficient_work,9.354217529296875,F
drive_transit_ASC_auto_deficient_atwork,-998.8196,F
drive_transit_ASC_auto_sufficient_eatout,-10.91447544,F
drive_transit_ASC_auto_sufficient_escort,-26.07130623,F
drive_transit_ASC_auto_sufficient_othdiscr,-5.231681824,F
drive_transit_ASC_auto_sufficient_othmaint,-11.67416954,F
drive_transit_ASC_auto_sufficient_school,-22.75538826,F
drive_transit_ASC_auto_sufficient_shopping,-10.62800884,F
drive_transit_ASC_auto_sufficient_social,-2.139929771,F
drive_transit_ASC_auto_sufficient_univ,2.4619836807250977,F
drive_transit_ASC_auto_sufficient_work,-14.83181763,F
drive_transit_ASC_auto_sufficient_atwork,-999.21466,F
taxi_ASC_no_auto_eatout_othdiscr_social,0.9923,F
taxi_ASC_no_auto_escort_othmaint_shopping,1.8939,F
taxi_ASC_no_auto_school_univ,-7,T
taxi_ASC_no_auto_work,-4.357495308,F
taxi_ASC_no_auto_atwork,4.1021,F
taxi_ASC_auto_deficient_eatout_othdiscr_social,-3.1317,F
taxi_ASC_auto_deficient_escort_othmaint_shopping,0.1766,F
taxi_ASC_auto_deficient_school,-14.23951912,F
taxi_ASC_auto_deficient_univ,13.745699882507324,F
taxi_ASC_auto_deficient_work,4.998227119445801,F
taxi_ASC_auto_deficient_atwork,-4.4046,F
taxi_ASC_auto_sufficient_eatout_othdiscr_social,-3.0374,F
taxi_ASC_auto_sufficient_escort_othmaint_shopping,-1.8055,F
taxi_ASC_auto_sufficient_school,-15.02412987,F
taxi_ASC_auto_sufficient_univ,-0.597069204,F
taxi_ASC_auto_sufficient_work,-6.530412674,F
taxi_ASC_auto_sufficient_atwork,-2.8804,F
tnc_single_ASC_no_auto_eatout_othdiscr_social,1.6852,F
tnc_single_ASC_no_auto_escort_othmaint_shopping,1.8605,F
tnc_single_ASC_no_auto_school,-21.63360786,T
tnc_single_ASC_no_auto_univ,-6.070859909,F
tnc_single_ASC_no_auto_work,-3.592834711,F
tnc_single_ASC_no_auto_atwork,4.4982,F
tnc_single_ASC_auto_deficient_eatout_othdiscr_social,-2.9623,F
tnc_single_ASC_auto_deficient_escort_othmaint_shopping,0.6748,F
tnc_single_ASC_auto_deficient_school,-14.15055752,F
tnc_single_ASC_auto_deficient_univ,-9.706098557,F
tnc_single_ASC_auto_deficient_work,-4.815392017,F
tnc_single_ASC_auto_deficient_atwork,-3.7626,F
tnc_single_ASC_auto_sufficient_eatout_othdiscr_social,-2.3239,F
tnc_single_ASC_auto_sufficient_escort_othmaint_shopping,-1.45,F
tnc_single_ASC_auto_sufficient_school,-15.43281078,F
tnc_single_ASC_auto_sufficient_univ,3.083223581314087,F
tnc_single_ASC_auto_sufficient_work,-3.436670065,F
tnc_single_ASC_auto_sufficient_atwork,-2.7988,F
tnc_shared_ASC_no_auto_eatout_othdiscr_social,0.6464,F
tnc_shared_ASC_no_auto_escort_othmaint_shopping,0.9361,F
tnc_shared_ASC_no_auto_school,-19.83625603,T
tnc_shared_ASC_no_auto_univ,-8.29254818,F
tnc_shared_ASC_no_auto_work,-5.911614418,F
tnc_shared_ASC_no_auto_atwork,3.3672,F
tnc_shared_ASC_auto_deficient_eatout_othdiscr_social,-4.3576,F
tnc_shared_ASC_auto_deficient_escort_othmaint_shopping,-0.3863,F
tnc_shared_ASC_auto_deficient_school,-16.5498085,F
tnc_shared_ASC_auto_deficient_univ,-10.97316647,F
tnc_shared_ASC_auto_deficient_work,-13.4830122,F
tnc_shared_ASC_auto_deficient_atwork,-4.5089,F
tnc_shared_ASC_auto_sufficient_eatout_othdiscr_social,-3.6638,F
tnc_shared_ASC_auto_sufficient_escort_othmaint_shopping,-2.4365,F
tnc_shared_ASC_auto_sufficient_school,-17.75792313,F
tnc_shared_ASC_auto_sufficient_univ,2.5381147861480713,F
tnc_shared_ASC_auto_sufficient_work,-4.646265984,F
tnc_shared_ASC_auto_sufficient_atwork,-3.5397,F
joint_walk_ASC_no_auto_all,-0.21274701,F
joint_walk_ASC_auto_deficient_all,-1.9607706,F
joint_walk_ASC_auto_sufficient_all,-3.2352157,F
joint_bike_ASC_no_auto_all,-2.8671598,F
joint_bike_ASC_auto_deficient_all,-6.076415,F
joint_bike_ASC_auto_sufficient_all,-6.3760657,F
joint_sr2_ASC_no_auto_all,0,T
joint_sr2_ASC_auto_deficient_all,0,T
joint_sr2_ASC_auto_sufficient_all,0,T
joint_sr3p_ASC_no_auto_all,0.5630671,F
joint_sr3p_ASC_auto_deficient_all,-1.8841692,F
joint_sr3p_ASC_auto_sufficient_all,-2.234826,F
joint_walk_transit_ASC_no_auto_all,0.62292415,F
joint_walk_transit_ASC_auto_deficient_all,-5.1634483,F
joint_walk_transit_ASC_auto_sufficient_all,-18.264534,F
joint_drive_transit_ASC_no_auto_all,0,T
joint_drive_transit_ASC_auto_deficient_all,-5.9632215,F
joint_drive_transit_ASC_auto_sufficient_all,-8.045285,F
joint_taxi_ASC_no_auto_all,-4.5792,F
joint_taxi_ASC_auto_deficient_all,-9.8157,F
joint_taxi_ASC_auto_sufficient_all,-11.7099,T
joint_tnc_single_ASC_no_auto_all,-4.4917,F
joint_tnc_single_ASC_auto_deficient_all,-9.8961,F
joint_tnc_single_ASC_auto_sufficient_all,-14.0159,T
joint_tnc_shared_ASC_no_auto_all,-4.3002,F
joint_tnc_shared_ASC_auto_deficient_all,-11.1572,F
joint_tnc_shared_ASC_auto_sufficient_all,-13.205,T
local_bus_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-0.090703264,F
local_bus_ASC_school_univ,-0.06508621,F
local_bus_ASC_work,5.163858890533447,F
walk_light_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.76895475,F
walk_light_rail_ASC_school_univ,1.6814003,F
walk_light_rail_ASC_work,0.019281595945358276,F
drive_light_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.76895475,F
drive_light_rail_ASC_school_univ,1.6814003,F
drive_light_rail_ASC_work,-9.718412399,F
walk_ferry_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.9401238,F
walk_ferry_ASC_school_univ,2.0202317,F
walk_ferry_ASC_work,-5.845720768,F
drive_ferry_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.9401238,F
drive_ferry_ASC_school_univ,2.0202317,F
drive_ferry_ASC_work,34.29555892944336,F
express_bus_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.9692316,F
express_bus_ASC_school_univ,0.32496938,F
express_bus_ASC_work,-14.39562893,F
heavy_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.7706121,F
heavy_rail_ASC_school_univ,0.96200377,F
heavy_rail_ASC_work,-11.78487587,F
commuter_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.7270185,F
commuter_rail_ASC_school_univ,1.0336206,F
commuter_rail_ASC_work,-32.59711456,F
walk_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,0.525,F
walk_transit_CBD_ASC_school_univ,0.672,F
walk_transit_CBD_ASC_work,-1.80767417,F
walk_transit_CBD_ASC_atwork,0.564,F
drive_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,0.525,F
drive_transit_CBD_ASC_school_univ,0.672,F
drive_transit_CBD_ASC_work,-33.8510704,F
drive_transit_CBD_ASC_atwork,0.564,F
coef_topology_walk_multiplier_univ,15,T
coef_topology_bike_multiplier_univ,20,T
coef_topology_trn_multiplier_univ,2.200000047683716,T
coef_age1619_da_multiplier_univ,-0.401116699,T
coef_age010_trn_multiplier_univ,-1.554800034,T
coef_hhsize2_sr_multiplier_univ,-4.810313702,T
taxi_ASC_no_auto_univ,-7.806330681,T
joint_walk_ASC_no_auto_univ,-0.212747008,T
