,coefficient_name,value,constrain
159,walk_transit_ASC_auto_deficient_social,-3.8988678455352783,F
160,walk_transit_ASC_auto_deficient_univ,3.1362555,F
161,walk_transit_ASC_auto_deficient_work,-4.044316291809082,F
162,walk_transit_ASC_auto_deficient_atwork,-2.9988291,F
163,walk_transit_ASC_auto_sufficient_eatout,-2.6138970851898193,F
164,walk_transit_ASC_auto_sufficient_escort,-3.7779910564422607,F
165,walk_transit_ASC_auto_sufficient_othdiscr,-2.8435161113739014,F
166,walk_transit_ASC_auto_sufficient_othmaint,-3.2749276161193848,F
167,walk_transit_ASC_auto_sufficient_school,-3.9350407123565674,F
168,walk_transit_ASC_auto_sufficient_shopping,-2.140911340713501,F
169,walk_transit_ASC_auto_sufficient_social,-4.0227179527282715,F
170,walk_transit_ASC_auto_sufficient_univ,0.4731163,F
171,walk_transit_ASC_auto_sufficient_work,-5.244655609130859,F
172,walk_transit_ASC_auto_sufficient_atwork,-3.401027,F
173,drive_transit_ASC_no_auto_all,0.0,F
174,drive_transit_ASC_auto_deficient_eatout,0.9316793084144592,F
175,drive_transit_ASC_auto_deficient_escort,7.985496997833252,F
176,drive_transit_ASC_auto_deficient_othdiscr,-9.248003959655762,F
177,drive_transit_ASC_auto_deficient_othmaint,0.08190853893756866,F
178,drive_transit_ASC_auto_deficient_school,-4.689788818359375,F
179,drive_transit_ASC_auto_deficient_shopping,1.5926220417022705,F
180,drive_transit_ASC_auto_deficient_social,-2.9635579586029053,F
181,drive_transit_ASC_auto_deficient_univ,1.8501176,F
182,drive_transit_ASC_auto_deficient_work,-8.741411209106445,F
183,drive_transit_ASC_auto_deficient_atwork,-998.8196,F
184,drive_transit_ASC_auto_sufficient_eatout,-8.156393051147461,F
185,drive_transit_ASC_auto_sufficient_escort,-3.0932061672210693,F
186,drive_transit_ASC_auto_sufficient_othdiscr,-4.730429172515869,F
187,drive_transit_ASC_auto_sufficient_othmaint,-6.800179958343506,F
188,drive_transit_ASC_auto_sufficient_school,-10.234641075134277,F
189,drive_transit_ASC_auto_sufficient_shopping,-5.292026042938232,F
190,drive_transit_ASC_auto_sufficient_social,-6.450820446014404,F
191,drive_transit_ASC_auto_sufficient_univ,1.3587753,F
192,drive_transit_ASC_auto_sufficient_work,-7.512977123260498,F
193,drive_transit_ASC_auto_sufficient_atwork,-999.21466,F
194,taxi_ASC_no_auto_eatout_othdiscr_social,0.9923,F
195,taxi_ASC_no_auto_escort_othmaint_shopping,1.8939,F
196,taxi_ASC_no_auto_school_univ,-7.0,T
197,taxi_ASC_no_auto_work,-0.27020925283432007,F
198,taxi_ASC_no_auto_atwork,4.1021,F
199,taxi_ASC_auto_deficient_eatout_othdiscr_social,-3.1317,F
200,taxi_ASC_auto_deficient_escort_othmaint_shopping,0.1766,F
201,taxi_ASC_auto_deficient_school,-5.039303302764893,F
202,taxi_ASC_auto_deficient_univ,4.2492,F
203,taxi_ASC_auto_deficient_work,-7.293761730194092,F
204,taxi_ASC_auto_deficient_atwork,-4.4046,F
205,taxi_ASC_auto_sufficient_eatout_othdiscr_social,-3.0374,F
206,taxi_ASC_auto_sufficient_escort_othmaint_shopping,-1.8055,F
207,taxi_ASC_auto_sufficient_school,-4.7734198570251465,F
208,taxi_ASC_auto_sufficient_univ,-0.3131,F
209,taxi_ASC_auto_sufficient_work,-8.22733211517334,F
210,taxi_ASC_auto_sufficient_atwork,-2.8804,F
211,tnc_single_ASC_no_auto_eatout_othdiscr_social,1.6852,F
212,tnc_single_ASC_no_auto_escort_othmaint_shopping,1.8605,F
213,tnc_single_ASC_no_auto_school,-8.001542091369629,T
214,tnc_single_ASC_no_auto_univ,-2.519,F
215,tnc_single_ASC_no_auto_work,2.559676170349121,F
216,tnc_single_ASC_no_auto_atwork,4.4982,F
217,tnc_single_ASC_auto_deficient_eatout_othdiscr_social,-2.9623,F
218,tnc_single_ASC_auto_deficient_escort_othmaint_shopping,0.6748,F
219,tnc_single_ASC_auto_deficient_school,-5.234814643859863,F
220,tnc_single_ASC_auto_deficient_univ,1.0221,F
221,tnc_single_ASC_auto_deficient_work,-3.269167423248291,F
222,tnc_single_ASC_auto_deficient_atwork,-3.7626,F
223,tnc_single_ASC_auto_sufficient_eatout_othdiscr_social,-2.3239,F
224,tnc_single_ASC_auto_sufficient_escort_othmaint_shopping,-1.45,F
225,tnc_single_ASC_auto_sufficient_school,-4.773959159851074,F
226,tnc_single_ASC_auto_sufficient_univ,0.2088,F
227,tnc_single_ASC_auto_sufficient_work,-1.1899611949920654,F
228,tnc_single_ASC_auto_sufficient_atwork,-2.7988,F
229,tnc_shared_ASC_no_auto_eatout_othdiscr_social,0.6464,F
230,tnc_shared_ASC_no_auto_escort_othmaint_shopping,0.9361,F
231,tnc_shared_ASC_no_auto_school,-8.937480926513672,T
232,tnc_shared_ASC_no_auto_univ,-5.8116,F
233,tnc_shared_ASC_no_auto_work,-0.8813788294792175,F
234,tnc_shared_ASC_no_auto_atwork,3.3672,F
235,tnc_shared_ASC_auto_deficient_eatout_othdiscr_social,-4.3576,F
236,tnc_shared_ASC_auto_deficient_escort_othmaint_shopping,-0.3863,F
237,tnc_shared_ASC_auto_deficient_school,-6.172194957733154,F
238,tnc_shared_ASC_auto_deficient_univ,3.25,F
239,tnc_shared_ASC_auto_deficient_work,-5.062269687652588,F
240,tnc_shared_ASC_auto_deficient_atwork,-4.5089,F
241,tnc_shared_ASC_auto_sufficient_eatout_othdiscr_social,-3.6638,F
242,tnc_shared_ASC_auto_sufficient_escort_othmaint_shopping,-2.4365,F
243,tnc_shared_ASC_auto_sufficient_school,-5.610048770904541,F
244,tnc_shared_ASC_auto_sufficient_univ,-0.9068,F
245,tnc_shared_ASC_auto_sufficient_work,-4.173504829406738,F
246,tnc_shared_ASC_auto_sufficient_atwork,-3.5397,F
247,joint_walk_ASC_no_auto_all,-0.21274701,F
248,joint_walk_ASC_auto_deficient_all,-1.9607706,F
249,joint_walk_ASC_auto_sufficient_all,-3.2352157,F
250,joint_bike_ASC_no_auto_all,-2.8671598,F
251,joint_bike_ASC_auto_deficient_all,-6.076415,F
252,joint_bike_ASC_auto_sufficient_all,-6.3760657,F
253,joint_sr2_ASC_no_auto_all,0.0,T
254,joint_sr2_ASC_auto_deficient_all,0.0,T
255,joint_sr2_ASC_auto_sufficient_all,0.0,T
256,joint_sr3p_ASC_no_auto_all,0.5630671,F
257,joint_sr3p_ASC_auto_deficient_all,-1.8841692,F
258,joint_sr3p_ASC_auto_sufficient_all,-2.234826,F
259,joint_walk_transit_ASC_no_auto_all,0.62292415,F
260,joint_walk_transit_ASC_auto_deficient_all,-5.1634483,F
261,joint_walk_transit_ASC_auto_sufficient_all,-18.264534,F
262,joint_drive_transit_ASC_no_auto_all,0.0,T
263,joint_drive_transit_ASC_auto_deficient_all,-5.9632215,F
264,joint_drive_transit_ASC_auto_sufficient_all,-8.045285,F
265,joint_taxi_ASC_no_auto_all,-4.5792,F
266,joint_taxi_ASC_auto_deficient_all,-9.8157,F
267,joint_taxi_ASC_auto_sufficient_all,-11.7099,T
268,joint_tnc_single_ASC_no_auto_all,-4.4917,F
269,joint_tnc_single_ASC_auto_deficient_all,-9.8961,F
270,joint_tnc_single_ASC_auto_sufficient_all,-14.0159,T
271,joint_tnc_shared_ASC_no_auto_all,-4.3002,F
272,joint_tnc_shared_ASC_auto_deficient_all,-11.1572,F
273,joint_tnc_shared_ASC_auto_sufficient_all,-13.205,T
274,local_bus_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-0.090703264,F
275,local_bus_ASC_school_univ,-0.06508621,F
276,local_bus_ASC_work,6.064385890960693,F
277,walk_light_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.76895475,F
278,walk_light_rail_ASC_school_univ,1.6814003,F
279,walk_light_rail_ASC_work,-4.513383865356445,F
280,drive_light_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.76895475,F
281,drive_light_rail_ASC_school_univ,1.6814003,F
282,drive_light_rail_ASC_work,-2.2026491165161133,F
283,walk_ferry_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.9401238,F
284,walk_ferry_ASC_school_univ,2.0202317,F
285,walk_ferry_ASC_work,-4.333202838897705,F
286,drive_ferry_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.9401238,F
287,drive_ferry_ASC_school_univ,2.0202317,F
288,drive_ferry_ASC_work,-6.2055134773254395,F
289,express_bus_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.9692316,F
290,express_bus_ASC_school_univ,0.32496938,F
291,express_bus_ASC_work,1.5564638376235962,F
292,heavy_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.7706121,F
293,heavy_rail_ASC_school_univ,0.96200377,F
294,heavy_rail_ASC_work,2.1494529247283936,F
295,commuter_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.7270185,F
296,commuter_rail_ASC_school_univ,1.0336206,F
297,commuter_rail_ASC_work,-4.772302627563477,F
298,walk_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,0.525,F
299,walk_transit_CBD_ASC_school_univ,0.672,F
300,walk_transit_CBD_ASC_work,-3.8433268070220947,F
301,walk_transit_CBD_ASC_atwork,0.564,F
302,drive_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,0.525,F
303,drive_transit_CBD_ASC_school_univ,0.672,F
304,drive_transit_CBD_ASC_work,-7.281880855560303,F
305,drive_transit_CBD_ASC_atwork,0.564,F
306,coef_topology_walk_multiplier_school,15.0,T
307,coef_topology_bike_multiplier_school,20.0,T
308,coef_topology_trn_multiplier_school,2.200000047683716,T
309,coef_age1619_da_multiplier_school,11.663163185119629,T
310,coef_age010_trn_multiplier_school,-4.872992038726807,T
311,coef_hhsize2_sr_multiplier_school,-8.348859786987305,T
312,taxi_ASC_no_auto_school,-7.783450126647949,T
313,joint_walk_ASC_no_auto_school,-0.2127470076084137,T
314,joint_walk_ASC_auto_deficient_school,-1.960770606994629,T
315,joint_walk_ASC_auto_sufficient_school,-3.235215663909912,T
316,joint_bike_ASC_no_auto_school,-2.867159843444824,T
317,joint_bike_ASC_auto_deficient_school,-6.076415061950684,T
318,joint_bike_ASC_auto_sufficient_school,-6.376065731048584,T
319,joint_sr3p_ASC_no_auto_school,0.5630670785903931,T
320,joint_sr3p_ASC_auto_deficient_school,-1.8841692209243774,T
321,joint_sr3p_ASC_auto_sufficient_school,-2.23482608795166,T
322,joint_walk_transit_ASC_no_auto_school,0.6229241490364075,T
323,joint_walk_transit_ASC_auto_deficient_school,-5.163448333740234,T
324,joint_walk_transit_ASC_auto_sufficient_school,-18.26453399658203,T
325,joint_drive_transit_ASC_auto_deficient_school,-5.963221549987793,T
326,joint_drive_transit_ASC_auto_sufficient_school,-8.04528522491455,T
327,joint_taxi_ASC_no_auto_school,-4.57919979095459,T
328,joint_taxi_ASC_auto_deficient_school,-9.815699577331543,T
329,joint_taxi_ASC_auto_sufficient_school,-11.70989990234375,T
330,joint_tnc_single_ASC_no_auto_school,-4.491700172424316,T
331,joint_tnc_single_ASC_auto_deficient_school,-9.896100044250488,T
332,joint_tnc_single_ASC_auto_sufficient_school,-14.015899658203125,T
333,joint_tnc_shared_ASC_no_auto_school,-4.30019998550415,T
334,joint_tnc_shared_ASC_auto_deficient_school,-11.15719985961914,T
335,joint_tnc_shared_ASC_auto_sufficient_school,-13.204999923706055,T
336,local_bus_ASC_school,1.5462307929992676,T
337,walk_light_rail_ASC_school,-3.360136032104492,T
338,drive_light_rail_ASC_school,-3.413693904876709,T
339,walk_ferry_ASC_school,-3.0006179809570312,T
340,drive_ferry_ASC_school,-4.382612705230713,T
341,express_bus_ASC_school,3.4492850303649902,T
342,heavy_rail_ASC_school,3.1946940422058105,T
343,commuter_rail_ASC_school,-4.10269832611084,T
344,walk_transit_CBD_ASC_school,-3.330104112625122,T
345,drive_transit_CBD_ASC_school,-6.038841724395752,T
346,coef_topology_walk_multiplier_work,15.0,T
347,coef_topology_bike_multiplier_work,20.0,T
348,coef_topology_trn_multiplier_work,2.200000047683716,T
349,joint_walk_ASC_no_auto_work,-0.2127470076084137,T
350,joint_walk_ASC_auto_deficient_work,-1.960770606994629,T
351,joint_walk_ASC_auto_sufficient_work,-3.235215663909912,T
352,joint_bike_ASC_no_auto_work,-2.867159843444824,T
353,joint_bike_ASC_auto_deficient_work,-6.076415061950684,T
354,joint_bike_ASC_auto_sufficient_work,-6.376065731048584,T
355,joint_sr3p_ASC_no_auto_work,0.5630670785903931,T
356,joint_sr3p_ASC_auto_deficient_work,-1.8841692209243774,T
357,joint_sr3p_ASC_auto_sufficient_work,-2.23482608795166,T
358,joint_walk_transit_ASC_no_auto_work,0.6229241490364075,T
